ji4 gaa1 (hai6) loeng5 dim2 bun3 | It is half past two now
ji4 gaa1 (hai6) saam1 dim2 gau2 | It is a quarter to four now
ngo5 jau5 si6, ngo5 jiu3 zau2 laa3 | I have somthing to do, I have to go
ngo5 jiu3 duk6 syu1 | I have to study
ngo5 jiu3 zou6 je5 | I have to work
ngo5 jiu3 faan1 hok6 | I have to go to school
nei5 jiu3 faan1 gung1 | you have to go to work
keoi5 jiu3 faan1 uk1 kei2 | he have to go home
Zung1 Man4 | chinese (scritto)
Jing1 Man4 | english (scritto)
Laai1 Ding1 Man4 | latin (scritto)
Sai1 Baan1 Ngaa4 Man4 | spanigsh (scritto)
Faat3 Man4 | french (scritto)
Dak1 Man4 | german (scritto)
Jat6 Man4 | japanese (scritto)
Hon4 Man4 | korean (scritto)
Taai3 Man4 | thai (scritto)
nei5 sik1 m4 sik1 zaa1 ce1 aa3? | can you drive? (to know how to)
nei5 sik1 m4 sik1 daa2 zi6 aa3? | can you type?  (to know how to)
nei5 sik1 m4 sik1 taan4 kam4 aa3? | can you play piano?  (to know how to)
nei5 sik1 m4 sik1 laai1 siu2 tai4 kam4 aa3? | can you play violin? (to know how to)
nei5 sik1 m4 sik1 daa2 maa4 zoek3 aa3? | can you play mahjong? (to know how to)
nei5 sik1 m4 sik1 zyu2 faan6 aa3? | can you cook? (to know how to)
nei5 zung1 ji3 zou6 mat1 je5 wan6 dung6 aa3? | Che attività ti piace fare? (tu - piacere - fare - quale - attivita)
ngo5 zung1 ji3 jau4 seoi2 | I like swimming
ngo5 zung1 ji3 cim4 seoi2 | I like diving
ngo5 zung1 ji3 lau4 bing1 | I like ice-skating
ngo5 zung1 ji3 waat6 syut3 | I like skiing
ngo5 zung1 ji3 waan2 waat6 long6 fung1 faan4 |  I like wind-surfing
ngo5 zung1 ji3 jaai2 daan1 ce1 | I like cycling
ngo5 zung1 ji3 daa2 gung1 fu1 | I like kungfu
ngo5 zung1 ji3 geoi2 cung5 | I like weight lifting
ngo5 zung1 ji3 daa2 leoi5 kau4 | I like playing baseball 
ngo5 zung1 ji3 daa2 gou1 ji5 fu1 kau4 | I like playing golf
ngo5 zung1 ji3 daa2 bing1 bam1 bo1 | I like playing table tennis
ngo5 zung1 ji3 daa2 bik1 kau4 | I like playing squash
ngo5 zung1 ji3 daa2 mong5 kau4 | I like playing tennis
ngo5 zung1 ji3 daa2 paai4 kau4 | I like playing volleyball
ngo5 zung1 ji3 tek3 zuk1 kau4 | I like playing soccer
ngo5 zung1 ji3 paau2 bou6 | I like running (jogging)
